id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
639165546362307214,Casa Boss Monaco 4,45605559,Francesco,,Centro Storico,43.781044,11.243502,Private room,60,1,0,,,9,356,0,
643509198002719947,Mannelli Quiet Apartment,397810,Valter,,Campo di Marte,43.77367243269826,11.277905025336922,Entire home/apt,141,3,0,,,15,160,0,
639168861573297333,Casa Boss Monaco 5,45605559,Francesco,,Centro Storico,43.781044,11.243502,Private room,60,1,0,,,9,356,0,
643509907971578535,Cal. Gambano Immobillionaire,409461807,Enrico,,Centro Storico,43.76960942725942,11.263435299960966,Entire home/apt,91,2,0,,,2,342,0,
639475664114886441,NINA DUOMO APARTMENT,461981031,Maria Luigia,,Centro Storico,43.774578,11.259142,Entire home/apt,76,2,0,,,1,343,0,
639476165632684268,Private Room and Bathroom,6534428,Karolina,,Campo di Marte,43.78873541723467,11.268279713934032,Private room,32,1,0,,,1,299,0,
643793888501336873,Appartamento con corte esterna in oltrarno,792772,Francesca,,Centro Storico,43.7689196043151,11.24434142219704,Entire home/apt,80,3,0,,,1,318,0,
639490081236951381,X 7 Grande appartamento con terrazza e jacuzzi A/C,96514403,Monica,,Rifredi,43.78304856956985,11.255704184121516,Entire home/apt,571,3,0,,,7,170,0,
639517156843950479,Piazza S.Spirito 6,175095371,Annie,,Centro Storico,43.766411,11.247663,Entire home/apt,566,1,0,,,21,63,0,
643825464031377936,Camera singola in appartamento in centro a Firenze,62899038,Patricia,,Centro Storico,43.7761121,11.2549018,Private room,40,1,0,,,1,328,0,
25775166,Camera Lussuosa/Luxury Room in Florence,71488623,Muse,,Isolotto Legnaia,43.76085,11.17751,Private room,45,1,1,2018-06-15,0.02,1,2,0,
643836652051390059,Apartment 'Buontalenti' close to City Centre with Terrace & Wi-Fi,431986242,Bookiply,,Campo di Marte,43.78260277911613,11.276609525768981,Entire home/apt,212,1,0,,,4,360,0,
639558931548834725,Spacious apartment a few steps from the center,221716521,Ambra,,Centro Storico,43.76779206707471,11.26745271654768,Entire home/apt,210,2,0,,,11,310,0,
643914352547533759,Nice And Big Apartment,226037186,Federico,,Centro Storico,43.776070868676754,11.241289365479112,Entire home/apt,1000,3,0,,,13,76,0,048017LTI7244
639591931266489655,Petrarca apartment 1 bdr in the center,221716521,Ambra,,Centro Storico,43.76760732373496,11.269270851762936,Entire home/apt,180,2,0,,,11,352,0,
639594561347326885,Camera privata a 15 minuti a piedi dal centro,46641435,Maria,,Rifredi,43.786708343425005,11.25472839921713,Private room,57,1,0,,,8,351,0,
639619441428790566,Elegant apartment a few steps from the center,221716521,Ambra,,Centro Storico,43.76819500673956,11.269419814536853,Entire home/apt,190,2,0,,,11,313,0,
22553126,L'Arrampicata for 4 persons.,161551313,Alessandra - Interhome Group,,Gavinana Galluzzo,43.72673,11.28287,Entire home/apt,15,1,1,2021-08-27,0.10,27,296,1,
643915836875439156,San Firenze House,23904874,Edoardo E Michela,,Centro Storico,43.76909181357223,11.258902800437383,Entire home/apt,490,2,0,,,154,355,0,
643926520365632933,Antiques Santo Spirito Suite,463008760,Leonardo,,Centro Storico,43.768529777297495,11.248068674868778,Entire home/apt,146,2,0,,,1,334,0,
2466337,Casa in campagna fiorentina,12608470,Antonio,,Isolotto Legnaia,43.77879,11.14337,Entire home/apt,60,2,38,2020-07-26,0.39,1,283,0,
639638723913233146,Central loft with patio under the vineyard,24351152,Daniela,,Centro Storico,43.78043,11.256631,Entire home/apt,112,3,0,,,2,332,0,
639639868532064619,Borgo Dei Greci 16 II piano,175095371,Annie,,Centro Storico,43.769195556640625,11.25904369354248,Entire home/apt,376,1,0,,,21,17,0,
639640387710319548,Costa San Giorgio 71,175095371,Annie,,Centro Storico,43.766475677490234,11.2539644241333,Entire home/apt,390,1,0,,,21,45,0,
643938910623038635,easy9,415030426,Riccardo,,Centro Storico,43.781671673405164,11.261613021936139,Private room,453,1,0,,,17,358,0,
644008546677224210,Florence Hideaway,23904874,Edoardo E Michela,,Centro Storico,43.76988488054569,11.259335671070989,Entire home/apt,384,2,0,,,154,334,0,
639693952958868955,Fantastic loft a few steps from the center,221716521,Ambra,,Centro Storico,43.76805076936926,11.26788520418096,Entire home/apt,140,2,0,,,11,339,0,
18461254,Appartamento Gaia,61096131,Gaia,,Gavinana Galluzzo,43.75878,11.32774,Entire home/apt,70,1,33,2021-09-11,0.55,3,287,9,
22565672,La Capriata for 5 persons.,161551313,Alessandra - Interhome Group,,Gavinana Galluzzo,43.72663,11.28285,Entire home/apt,15,1,0,,,27,288,0,
644032197548356670,Apartment Relax & Comfort Florence,28303808,Salvatore,,Rifredi,43.789205576103456,11.220363151081775,Entire home/apt,108,2,0,,,1,328,0,
995880,Villa up the Certosa hill of FLR,5471208,Alessandro,,Gavinana Galluzzo,43.71481,11.20591,Entire home/apt,320,7,10,2022-05-31,0.17,8,245,2,
644044333007000888,Appartamento Incantevole Ponte Vecchio Firenze,93332919,Chiara,,Centro Storico,43.769067596192635,11.254527641082811,Entire home/apt,120,3,0,,,1,49,0,
20130872,THE RED BARN - private garden and swimming pool,76556444,Carlo,,Gavinana Galluzzo,43.71662,11.24569,Entire home/apt,286,4,37,2022-06-07,0.76,1,307,11,
40244686,Dependance La Torricella,80450601,Nicoletta,,Gavinana Galluzzo,43.71942,11.30935,Entire home/apt,90,3,0,,,1,351,0,
639923375536365972,PITTI PALACE VIEW IN SERRAGLI,3314526,Alessandro,,Centro Storico,43.766799733362674,11.24385567475263,Entire home/apt,240,2,0,,,39,323,0,
